Timestamp,Sensor_ID,Pressure (bar),Flow Rate (L/s),Temperature (°C)
01-01-2024 00:00,S007,3.69481448,77.51521848,21.695365
01-01-2024 00:05,S007,2.587125418,179.9264219,19.01672518
01-01-2024 00:10,S002,2.448964723,210.130823,10.01168149
01-01-2024 00:15,S009,2.93684371,141.7779342,12.09240791
01-01-2024 00:20,S003,3.073692987,197.4846329,17.0014434
01-01-2024 00:25,S009,2.597577389,192.3328306,24.4844805
01-01-2024 00:30,S005,2.846340738,86.1538199,20.24895278
01-01-2024 00:35,S003,3.863980603,88.81699724,19.93783427
01-01-2024 00:40,S010,3.351550492,54.69699387,22.63427162
01-01-2024 00:45,S004,3.396849968,188.2811353,11.32738753
01-01-2024 00:50,S008,3.766800773,162.0980165,18.09538199
01-01-2024 00:55,S009,2.944410259,74.79004086,10.2345461
01-01-2024 01:00,S008,2.508283176,172.3192143,20.60286016
01-01-2024 01:05,S005,3.889451318,147.6615538,23.72439513
01-01-2024 01:10,S001,2.595337525,96.64734826,14.87774983
01-01-2024 01:15,S003,3.208322388,67.93913689,20.69867181
01-01-2024 01:20,S007,2.560650384,156.5994335,11.66336231
01-01-2024 01:25,S007,3.213055335,134.4913358,20.4327413
01-01-2024 01:30,S004,3.914280356,139.82982,20.421774
01-01-2024 01:35,S009,2.65824139,118.4801856,13.27660656
01-01-2024 01:40,S010,2.683131932,103.4446757,23.60242662
01-01-2024 01:45,S009,3.727022149,179.1095875,10.10428196
01-01-2024 01:50,S005,3.538654049,90.41185007,13.66188283
01-01-2024 01:55,S008,3.554528438,104.5444404,24.57673124
01-01-2024 02:00,S002,3.568405885,72.21303949,24.96610728
01-01-2024 02:05,S006,2.549576099,101.7606872,19.51527017
01-01-2024 02:10,S010,3.978475681,86.30829073,20.08203321
01-01-2024 02:15,S006,3.051674699,144.8458746,19.50294566
01-01-2024 02:20,S001,2.726076316,126.2298165,20.4371921
01-01-2024 02:25,S004,2.524881743,126.8139587,13.39743663
01-01-2024 02:30,S001,3.096358032,127.6627026,22.56565159
01-01-2024 02:35,S002,3.887040427,181.600903,13.86912442
01-01-2024 02:40,S009,3.274953837,89.12437622,24.9438055
01-01-2024 02:45,S007,3.008544687,102.3814362,20.88933518
01-01-2024 02:50,S008,3.831655148,177.6392673,24.03452491
01-01-2024 02:55,S003,3.05842415,191.0200164,24.60495755
01-01-2024 03:00,S002,3.537842797,147.7941889,13.36403964
01-01-2024 03:05,S005,2.768234064,104.9703177,21.16255785
01-01-2024 03:10,S003,3.454498927,87.56927279,18.84806271
01-01-2024 03:15,S008,3.446707939,169.2216955,17.5395564
01-01-2024 03:20,S005,2.845277902,124.879007,18.58006299
01-01-2024 03:25,S005,3.825241033,162.1578161,24.29607771
01-01-2024 03:30,S003,3.970497376,61.3019384,14.58545529
01-01-2024 03:35,S003,2.75423912,133.5201894,24.04232161
01-01-2024 03:40,S008,2.813378076,150.6715275,15.37970172
01-01-2024 03:45,S010,3.611152927,154.5523611,20.53726126
01-01-2024 03:50,S007,3.129671285,88.43104154,19.17270566
01-01-2024 03:55,S004,3.697442768,147.4945896,20.52950316
01-01-2024 04:00,S007,2.541425158,136.8297343,16.57711185
01-01-2024 04:05,S010,3.313966952,92.98118782,18.86249891
01-01-2024 04:10,S006,2.954898272,130.5623641,14.89976863
01-01-2024 04:15,S005,3.185897742,176.3034613,12.91570051
01-01-2024 04:20,S008,3.589137001,196.3778119,17.74450522
01-01-2024 04:25,S003,3.158457131,61.7684572,10.38026115
01-01-2024 04:30,S009,3.532749851,58.72903933,23.72820591
01-01-2024 04:35,S006,3.571893884,149.0296065,14.19900845
01-01-2024 04:40,S005,3.417581119,112.9400094,13.71596484
01-01-2024 04:45,S009,3.0128195,63.76985987,11.41235482
01-01-2024 04:50,S005,3.211260744,64.6751241,17.37423813
01-01-2024 04:55,S005,3.097757102,142.3775147,19.52640476
01-01-2024 05:00,S010,3.900154462,125.1559826,18.09066173
01-01-2024 05:05,S007,3.916377396,180.07984,19.54605396
01-01-2024 05:10,S003,3.464932328,118.7379336,18.18425184
01-01-2024 05:15,S001,3.477227158,81.00265398,14.10941691
01-01-2024 05:20,S003,3.427380827,100.4831322,19.83583953
01-01-2024 05:25,S002,2.891041792,124.4056181,20.39335538
01-01-2024 05:30,S008,3.602606566,170.5221396,14.23051859
01-01-2024 05:35,S003,3.985757713,111.8926515,15.58027129
01-01-2024 05:40,S005,2.85789529,151.976717,21.09863141
01-01-2024 05:45,S001,3.257878559,173.9686199,14.80074402
01-01-2024 05:50,S009,3.770714716,103.2357786,24.35201328
01-01-2024 05:55,S010,3.447755818,117.2668283,14.39816158
01-01-2024 06:00,S004,3.919291814,167.1944076,11.70196903
01-01-2024 06:05,S010,3.162295752,183.1556274,15.26372519
01-01-2024 06:10,S010,3.755445811,180.0303058,22.57721146
01-01-2024 06:15,S009,3.732790089,155.9363341,11.22023171
01-01-2024 06:20,S001,3.820539953,85.50277905,23.6154056
01-01-2024 06:25,S003,3.665720374,133.7606375,16.36333014
01-01-2024 06:30,S003,2.880523261,110.780313,18.57209538
01-01-2024 06:35,S009,3.616317485,152.1559141,13.56259707
01-01-2024 06:40,S009,3.802898692,83.53937578,24.44833809
01-01-2024 06:45,S005,2.565101175,188.6964995,23.78673573
01-01-2024 06:50,S009,3.284646766,144.4097957,20.43623033
01-01-2024 06:55,S006,3.076302747,160.5651059,23.72881513
01-01-2024 07:00,S006,3.183485129,143.0198897,14.16071774
01-01-2024 07:05,S010,2.844092119,89.89068874,15.40517643
01-01-2024 07:10,S001,2.919645261,111.6810081,19.04172823
01-01-2024 07:15,S003,3.733805864,192.469987,20.88579263
01-01-2024 07:20,S008,3.814992229,132.7381809,12.47251392
01-01-2024 07:25,S002,3.980914194,72.56253367,18.91196073
01-01-2024 07:30,S001,3.757493057,120.303974,16.22229254
01-01-2024 07:35,S006,3.537571596,130.1519413,21.24866124
01-01-2024 07:40,S005,3.917148595,177.4471086,13.71022153
01-01-2024 07:45,S003,2.912097696,81.08414735,23.17331001
01-01-2024 07:50,S008,2.533277113,124.724778,17.14316045
01-01-2024 07:55,S001,3.327860258,134.1406957,23.14980404
01-01-2024 08:00,S007,3.632705884,143.0464327,20.56119652
01-01-2024 08:05,S002,3.025881338,138.487653,15.88366068
01-01-2024 08:10,S004,3.32116946,117.6365671,23.65706918
01-01-2024 08:15,S001,3.924280935,72.06102214,23.89881438
01-01-2024 08:20,S008,2.5687919,143.1208527,15.21120112
01-01-2024 08:25,S003,3.305895125,119.0178738,18.77149159
01-01-2024 08:30,S004,2.772820127,101.8500925,23.45182615
01-01-2024 08:35,S002,3.402903093,83.57735989,22.32685955
01-01-2024 08:40,S006,2.633053801,68.09538067,16.91168152
01-01-2024 08:45,S010,3.535592243,55.89682098,21.99115598
01-01-2024 08:50,S001,2.915316472,170.930192,21.22389536
01-01-2024 08:55,S008,3.226784478,142.7382157,15.53370459
01-01-2024 09:00,S008,2.699675393,153.0748258,22.66661009
01-01-2024 09:05,S002,3.17111855,129.89259,13.63705755
01-01-2024 09:10,S010,3.345947638,176.1064979,11.33806493
01-01-2024 09:15,S004,3.210954912,103.2656455,19.7323426
01-01-2024 09:20,S006,3.380261677,161.8159211,16.47489319
01-01-2024 09:25,S006,3.849471096,141.1332833,13.66529733
01-01-2024 09:30,S009,2.855840188,65.26737089,12.29288709
01-01-2024 09:35,S008,3.845148137,62.03506185,17.86767084
01-01-2024 09:40,S006,3.096783399,195.420565,22.98260689
01-01-2024 09:45,S008,3.584344145,173.129221,20.77685906
01-01-2024 09:50,S005,2.780565623,98.55188546,16.38154658
01-01-2024 09:55,S001,3.415930064,93.29458299,18.71857332
01-01-2024 10:00,S003,2.577735305,100.4906417,12.01622015
01-01-2024 10:05,S008,3.714811669,88.19609821,20.22254083
01-01-2024 10:10,S008,3.409152822,169.1434175,11.60048875
01-01-2024 10:15,S002,2.686445835,159.6301213,24.07510685
01-01-2024 10:20,S008,3.582394826,57.21419659,21.72271723
01-01-2024 10:25,S003,2.746398697,172.186208,19.97795831
01-01-2024 10:30,S010,3.088667661,172.4899159,16.58702363
01-01-2024 10:35,S006,3.309671593,115.8117013,18.66229406
01-01-2024 10:40,S002,3.315329292,185.9708166,19.36356994
01-01-2024 10:45,S007,3.595823705,154.0576411,12.5009614
01-01-2024 10:50,S007,3.359726274,199.6538924,21.2860468
01-01-2024 10:55,S001,2.550298652,135.4834527,21.43688029
01-01-2024 11:00,S006,3.304722027,106.8232348,16.85500329
01-01-2024 11:05,S008,2.724876141,84.38770928,20.83378853
01-01-2024 11:10,S003,3.348262521,157.4268612,18.98544047
01-01-2024 11:15,S008,3.375087692,110.1277125,16.93008705
01-01-2024 11:20,S008,3.258833018,141.7181353,10.27165276
01-01-2024 11:25,S004,3.878125783,168.5126956,10.34533907
01-01-2024 11:30,S010,2.603382309,61.59815982,11.56370449
01-01-2024 11:35,S001,2.669857069,197.7261798,22.5834713
01-01-2024 11:40,S006,3.278257086,138.6913154,15.98504056
01-01-2024 11:45,S004,3.681684833,140.5582298,11.7140095
01-01-2024 11:50,S006,3.019518992,102.0429803,21.06251872
01-01-2024 11:55,S003,2.872339664,136.6447931,12.48269976
01-01-2024 12:00,S006,2.830145821,81.90211765,17.72760524
01-01-2024 12:05,S004,3.121936186,62.80245021,24.95311378
01-01-2024 12:10,S007,3.140183358,169.9673033,15.24080499
01-01-2024 12:15,S008,3.381180406,94.10670188,20.710888
01-01-2024 12:20,S001,3.101144591,133.9460497,12.32860369
01-01-2024 12:25,S007,3.629869331,90.84527821,23.46145615
01-01-2024 12:30,S007,2.734228896,157.3958343,19.88385913
01-01-2024 12:35,S008,2.79416965,125.8261819,18.9257347
01-01-2024 12:40,S003,3.479119162,85.72741716,11.49162089
01-01-2024 12:45,S008,3.710275223,194.3973978,24.16614588
01-01-2024 12:50,S007,3.844503728,51.95028853,11.28262796
01-01-2024 12:55,S003,3.374562341,113.2136826,23.39007567
01-01-2024 13:00,S010,3.737660997,104.4588818,10.51342166
01-01-2024 13:05,S009,3.154189794,94.16986393,24.2267996
01-01-2024 13:10,S010,3.34866493,197.8050968,17.06598179
01-01-2024 13:15,S001,2.903016039,131.2451322,19.5021733
01-01-2024 13:20,S004,2.698414317,185.0858452,20.36832786
01-01-2024 13:25,S005,3.722581643,124.713613,11.007631
01-01-2024 13:30,S007,2.659868095,71.0027808,13.95525704
01-01-2024 13:35,S002,3.400775291,149.7555012,12.63056918
01-01-2024 13:40,S010,3.133054089,103.0807065,24.37940766
01-01-2024 13:45,S003,2.868023665,108.3943421,14.33040605
01-01-2024 13:50,S007,3.415607001,192.3960196,15.9497406
01-01-2024 13:55,S008,2.822410568,54.67747026,13.93396066
01-01-2024 14:00,S002,3.434998826,121.1355963,15.16575598
01-01-2024 14:05,S008,3.152241008,86.96030499,22.28653477
01-01-2024 14:10,S006,3.385346,104.1460845,11.3737311
01-01-2024 14:15,S010,3.535840349,128.1951001,11.30057818
01-01-2024 14:20,S005,2.525154408,196.4667158,19.5584737
01-01-2024 14:25,S009,3.91608901,55.91402171,20.58362759
01-01-2024 14:30,S005,3.209815177,96.92822848,11.80783868
